program_change channel=0 program=0 time=0
note_on channel=0 note=76 velocity=60 time=0
note_on channel=0 note=76 velocity=0 time=0.171974475
note_on channel=0 note=67 velocity=50 time=0.0016447375
note_on channel=0 note=67 velocity=0 time=0.1973685
note_on channel=0 note=72 velocity=47 time=0
note_on channel=0 note=72 velocity=0 time=0.00170068125
note_on channel=0 note=76 velocity=47 time=0
note_on channel=0 note=76 velocity=0 time=0.0016447375
note_on channel=0 note=64 velocity=0 time=0
note_on channel=0 note=60 velocity=0 time=0
note_on channel=0 note=60 velocity=62 time=0
note_on channel=0 note=64 velocity=57 time=0.1973685
note_on channel=0 note=67 velocity=55 time=0.1973685
note_on channel=0 note=67 velocity=0 time=0.1973685
note_on channel=0 note=72 velocity=57 time=0
note_on channel=0 note=72 velocity=0 time=0.00160256458333
note_on channel=0 note=76 velocity=61 time=0
note_on channel=0 note=76 velocity=0 time=0.173076975
note_on channel=0 note=67 velocity=50 time=0.0016447375
note_on channel=0 note=67 velocity=0 time=0.1973685
note_on channel=0 note=72 velocity=48 time=0
note_on channel=0 note=72 velocity=0 time=0.1973685
note_on channel=0 note=76 velocity=48 time=0
control_change channel=0 control=91 value=127 time=0
control_change channel=0 control=91 value=127 time=0
note_on channel=0 note=76 velocity=0 time=0.00168918958333
note_on channel=0 note=64 velocity=0 time=0
note_on channel=0 note=60 velocity=0 time=0
note_on channel=0 note=60 velocity=67 time=0
control_change channel=0 control=64 value=0 time=0.0118243270833
control_change channel=0 control=64 value=127 time=0.165540579167
note_on channel=0 note=64 velocity=62 time=0.02533784375
note_on channel=0 note=69 velocity=61 time=0.20270275
note_on channel=0 note=69 velocity=0 time=0.0016447375
note_on channel=0 note=76 velocity=66 time=0
note_on channel=0 note=76 velocity=0 time=0.00160256458333
note_on channel=0 note=81 velocity=70 time=0
note_on channel=0 note=81 velocity=0 time=0.173076975
note_on channel=0 note=69 velocity=55 time=0.0016339875
note_on channel=0 note=69 velocity=0 time=0.1960785
note_on channel=0 note=76 velocity=51 time=0
note_on channel=0 note=76 velocity=0 time=0.1960785
